,Unnamed: 0,title,author,url,tags,rtitle,rbody,word,coord_x,coord_y
0,0,シンクロナイザー / feat.初音ミク,Orangestar ,https://www.nicovideo.jp/watch/sm29425003,"['#VOCALOID', '#初音ミク', '#夏曲', '#爽やか', '#爽やかロック']",爽やかに涙を乾かしてくれる夏,深く澄んだ海のようなピアノと爽快なシンセサイザーの組み合わせが、涼しげで最高に夏！！ 不器用に励ましてくれる無垢な優しさの歌詞が、青くて未完成で素敵… 君も聴こうよ！1、2、せーの！,"['未完成', '不器用', '素敵', '爽快', 'ピアノ']",-0.17213961482048035,0.2638800084590912
1,1,Dear Monochrome feat.知声(Chis-A)【オリジナル曲】,mogmo,https://www.nicovideo.jp/watch/sm42718975,"['#VOCAROCK', '#VoiSona', '#ドラムンベース', '#ミクスチャー', '#恋', '#疾走感', '#知声']",外側カリっと中とろとろ。これは、ロック！,"湿度高めのギターと、カラカラに乾いたD'n'B的な刻みが混在する。外側カリっと中とろとろ。あつあつ。2番サビ以降より""ロック""に。すべてがお互いを引き立てる。最後まで聴いて！","['番サビ以降', '湿度高いめ', '中とろとろ', 'd', 'b']",-0.14924542605876923,0.2843555361032486
2,2,【UTAUオリジナル】コインランドリー【ナースロボ＿タイプT】,atokata ,https://www.nicovideo.jp/watch/sm42668003,"['#UTAU', '#アニメーション', '#ナースロボ_タイプT', '#幼気']",幼気の抜けさる狭間でぐるぐる回る。だうなーぽっぷ,"コインランドリーの内側から見る。汚れたシャツにさよならを言って。汚れが流れないように。""汚れ""は何を指している？ ダウナーな言葉の転がりにもう夢中。「意味などない！」","['コインランドリー', '汚れ', '意味', '内側', 'シャツ']",-0.15631883011923897,0.37056493759155273
3,3,似合うはずだから / カゼヒキβ,inuha,https://www.nicovideo.jp/watch/sm42744195,"['#VOCALOID', '#vx-β', '#カゼヒキ', '#カゼヒキβ', '#シューゲイザー', '#バラード', '#切ない']",カゼヒキの澄んだ佇まいが焼き付くシューゲイザー,一輪の花の、儚くも懸命な佇まいを生き写しにしたようなカゼヒキの声と、風の騒めきに似た壮大な残響の澄み切った交わりで織り成すシューゲイザー。想い残す事の無い未来へ、小さな覚悟を据えて征く,"['無い未来', '小さな覚悟', 'シューゲイザー', '輪', '交わり']",-0.16599497695763907,0.29134978353977203
4,4,お祈り- オヨイダキビス feat.カゼヒキβ,オヨイダキビス,https://www.nicovideo.jp/watch/sm42743647,"['#3拍子', '#VOCALOIDおふとん入り', '#vx-β', '#カゼヒキ', '#カゼヒキβ', '#優しい', '#夜のうた']",だいじょうぶになりたい夜に。3拍子でおちつく子守歌,やわらかくてやさしい、一日の終わりをぜんぶだいじょうぶにしたいあなたに贈る子守歌。穏やかな中でまわる展開が、無理なく気持ちを引き上げてくれる。こんなふうに眠れたらいいよね。,"['子守歌', 'ぜんぶだいじょうぶ', '展開', '日', '終わり']",-0.1425256927808126,0.2802633394797643
5,5,結露、夏に増してく。/ feat.重音テト SV,カトウシュンイチ,https://www.nicovideo.jp/watch/sm42570187,"['#SynthesizerV', '#ボカコレ2023夏', '#夏曲', '#爽やか', '#重音テト', '#青春']",爽快なんだけどちょっとジメッとした夏を感じるポップロック,爽快で涼しげなポップロック！ その中にもちょっとジメッとした夏を彷彿とさせるサウンド感がたまらん〜 テトさんの声もさることながらコーラスが良すぎる！ラスサビめっちゃ良いので聴いて！,"['サウンド感', 'ポップロック', '良い', '夏', 'テト']",-0.16321187127720227,0.28002870082855225
6,6,ちるり-メルティミルキィ feat.初音ミク,ちるり,https://www.nicovideo.jp/watch/sm42698201,"['#Hyperpop', '#VOCALOID', '#かわいい', '#チル', '#プログレ', '#よれよれ曲', '#初音ミク']",チル好き＆ゆめかわ好き必見の1曲！,ワブル感のある横揺れサウンドに、可愛くて機械的なミクの声を合わせた、浮遊感のあるチルナンバー。全体的に可愛らしい雰囲気でまとめられつつ、どこか切なさを感じさせる中毒性がある。,"['浮遊感', '中毒性', 'ワブル感', '横揺れサウンド', '雰囲気']",-0.13879625499248505,0.2563936760028203
7,7,hope feat初音ミク　カニセン,カニセン ,https://www.nicovideo.jp/watch/sm42667649,"['#VOCALOID', '#VOCAROCK', '#ガレージロック', '#ノスタルジック', '#初音ミク']",何年も前に聴いたことがあるような、倉庫にレコードがあったような。,"耳に刺さるくらいにギャリギャリの歌声は、たぶん""古い音源""の表現。叫ぶ顔が浮かぶような、あるいはぜんぶがギターに聴こえるような、切実なガレージロック。合成音声の使い方のおもしろみも感じます。","['合成音声', '古い音源', 'ガレージロック', 'おもしろい', '顔']",-0.15307121276855468,0.2934627890586853
8,8,潮時,ひロせ ,https://www.nicovideo.jp/watch/sm42580326,"['#VOCALOID', '#エレクトロニカ', '#ボカコレ2023夏', '#初音ミク', '#感性の反乱β', '#環境系', '#自然派']",形を持たない自然派の旋律で、表現のその先へ,自然的な感覚を解体していく、形を持たない旋律の先に体感した事の無い無数の表現への脈を感じるエレクトロニカ。日々の喧騒から抜け出して、生きた世界の流れを先入観無く象るアプローチが凝縮されている。,"['先入観無い', '無い無数', 'アプローチ', '感覚', 'エレクトロニカ']",-0.19187184671560922,0.280745729804039
9,9,夏の怪談feat.IA,空中元彌,https://www.nicovideo.jp/watch/sm42659242,"['#CeVIO AI', '#IA', '#VOCAROCK', '#夏曲', '#学校の怪談']",映画『学校の怪談4』をきっかけに生まれた爽快夏ロック！,低音響くAメロから一気に晴れ上がるサビがあまりにも爽快な夏ロック！ まだ2回しか聴けてないのですが、一番好きな夏曲になる気がします。 制作のきっかけとなった映画『学校の怪談4』も観てみたくなりました。,"['aメロ', '夏ロック', '夏曲', '回', '一気']",-0.14341084361076356,0.30087493658065795
10,10,Natural,Saku,https://www.nicovideo.jp/watch/sm42578164,"['#UTAU', '#VOCALOID', '#エレクトロニカ', '#ボカコレ', '#ボカコレ2023夏', '#初音ミク', '#名前シレズ', '#環境系', '#自然派']",光の呼ぶ方へ、全霊でその声に応答するエレクトロニカ,2分以上にわたる上質なコーラス・電子音の織り成すイントロから展開される、魂の吸い寄せられるような圧倒的な生命力の奔流に呑まれながら、光の呼ぶ方へ全身の感覚を研ぎ澄ましていくエレクトロニカ。,"['分以上', '電子音', '生命力', 'エレクトロニカ', 'イントロ']",-0.19210606813430786,0.26775303057261873
11,11,死、そのもの - 素面げこ feat.初音ミク,素面げこ ,https://www.nicovideo.jp/watch/sm42591123,"['#VOCALOID', '#トンデモポップ', '#ボカコレ2023夏', '#初音ミク', '#幻想狂気', '#最後まで聴くべき']",至高の音楽体験。「死」の表現力,この「死」への表現力を浴びてほしい。 美しくきれいなバラードが変容する瞬間の鳥肌と胸焼け、音楽体験の至高でした。 多くは語りません、ぜひご体験ください。,"['音楽体験', '美しいきれい', '表現力', '死', 'バラード']",-0.17099112272262573,0.2953854419968345
12,12,【ユメノハテ】 feat.初音ミク Soda556 vs amohS / end of a dream,soda556/炭酸P ,https://www.nicovideo.jp/watch/sm42576278,"['#VOCALOID', '#エレクトロ', '#トランス', '#ハードコア', '#フューチャーベース', '#ボカコレ2023夏', '#初音ミク']",止む事の無い希望の調べ、一瞬で過ぎ去る6分,6分という大作ながら、常に高度を上げていくような勢いの止まない展開で心を攫うfuture bass。不確かな未来にも真っ直ぐに向き合える、希望の音色を響かせる,"['Futurebass', '分', '大作', '展開', '心']",-0.17459355294704437,0.33227282265822095
